0.02 0.03 0.04 0.05 0.06 0.08
1 0.325 0.244 0.190 0.165 0.174 0.220 
1.5 0.372 0.295 0.237 0.196 0.198 0.223
2 0.374 0.299 0.246 0.208 0.205 0.224
3 0.247 0.283 0.241 0.213 0.205 0.212
4 0.325 0.266 0.228 0.204 0.196 0.201
5 0.307 0.252 0.217 0.196 0.189 0.192
6 0.294 0.241 0.208 0.189 0.182 0.184 
7 0.283 0.232 0.201 0.183 0.176 0.176
8 0.274 0.225 0.194 0.177 0.164 0.162
9 0.267 0.219 0.189 0.172 0.164 0.162
10 0.262 0.215 0.184 0.167 0.159 0.156
12 0.251 0.206 0.177 0.160 0.151 0.147 
15 0.238 0.195 0.167 0.151 0.142 0.137
19 0.226 0.184 0.157 0.141 0.133 0.130
19.5 0.226 0.184 0.157 0.141 0.133 0.130
20 0.226 0.184 0.157 0.141 0.133 0.130
