DataMarket : 76  data lines
TypeOpt,    T,        K,          PrixObs,      PrixMod,        Erreur (%)      SigmaImpObs,       SigmaImp       Erreur(%)
 -1      0.250000     15.000000     9.827097e-11     1.000000e-14     99.989824     0.589103    0.494595    16.042716
 -1      0.250000     20.000000     1.553425e-08     1.000000e-14     99.999936     0.568465    0.419715    26.166991
 -1      0.250000     30.000000     7.095518e-06     1.000000e-14     100.000000     0.527189    0.314409    40.361232
 -1      0.250000     40.000000     2.882186e-04     1.000000e-14     100.000000     0.485470    0.239772    50.610361
 -1      0.250000     50.000000     3.587270e-03     1.000000e-14     100.000000     0.441520    0.181896    58.802272
 -1      0.250000     60.000000     2.344232e-02     1.000000e-14     100.000000     0.395298    0.134527    65.968251
 -1      0.250000     70.000000     1.049657e-01     1.000000e-14     100.000000     0.346636    0.094384    72.771349
 -1      0.250000     80.000000     3.764691e-01     1.000000e-14     100.000000     0.295307    0.059465    79.863475
 -1      0.250000     90.000000     1.205586e+00     1.000000e-14     100.000000     0.241300    0.028371    88.242512
 1      0.250000     100.000000     3.672057e+00     0.000000e+00     100.000000     0.184154    0.010000    94.569762
 1      0.250000     110.000000     2.522020e-01     1.000000e-14     100.000000     0.134935    0.025699    80.954756
 1      0.250000     120.000000     1.168180e-03     1.000000e-14     100.000000     0.114053    0.048533    57.446825
 1      0.250000     130.000000     1.790981e-06     1.000000e-14     99.999999     0.112096    0.069424    38.067116
 1      0.250000     140.000000     1.456673e-08     1.000000e-14     99.999931     0.120647    0.088615    26.550217
 1      0.250000     150.000000     1.334566e-09     1.000000e-14     99.999251     0.135306    0.106348    21.401775
 1      0.250000     160.000000     7.009642e-10     1.000000e-14     99.998573     0.153612    0.122927    19.975393
 1      0.250000     180.000000     1.950694e-09     1.000000e-14     99.999487     0.195733    0.153049    21.807018
 1      0.250000     200.000000     1.191395e-08     1.000000e-14     99.999916     0.240840    0.179831    25.331593
 1      0.250000     230.000000     1.635733e-07     1.000000e-14     99.999994     0.310405    0.215237    30.659310
 -1      0.500000     15.000000     2.501073e-08     1.000000e-14     99.999960     0.480169    0.349754    27.160255
 -1      0.500000     20.000000     1.312528e-06     1.000000e-14     99.999999     0.464525    0.296797    36.107350
 -1      0.500000     30.000000     1.609297e-04     1.000000e-14     100.000000     0.433238    0.222342    48.678930
 -1      0.500000     40.000000     2.997889e-03     1.000000e-14     100.000000     0.401748    0.169568    57.792441
 -1      0.500000     50.000000     2.244173e-02     1.000000e-14     100.000000     0.369136    0.128636    65.152134
 -1      0.500000     60.000000     1.015917e-01     1.000000e-14     100.000000     0.335352    0.095113    71.637841
 -1      0.500000     70.000000     3.405707e-01     1.000000e-14     100.000000     0.300419    0.066752    77.780311
 -1      0.500000     80.000000     9.459440e-01     1.000000e-14     100.000000     0.264245    0.042035    84.092390
 -1      0.500000     90.000000     2.332143e+00     1.000000e-14     100.000000     0.226785    0.020051    91.158669
 1      0.500000     100.000000     5.304757e+00     0.000000e+00     100.000000     0.188187    0.010000    94.686137
 1      0.500000     110.000000     1.105179e+00     1.000000e-14     100.000000     0.149291    0.018168    87.830357
 1      0.500000     120.000000     6.702957e-02     1.000000e-14     100.000000     0.124369    0.034322    72.402804
 1      0.500000     130.000000     1.370435e-03     1.000000e-14     100.000000     0.113905    0.049080    56.911687
 1      0.500000     140.000000     2.628902e-05     1.000000e-14     100.000000     0.113089    0.062623    44.625447
 1      0.500000     150.000000     1.470180e-06     1.000000e-14     99.999999     0.119142    0.075194    36.887383
 1      0.500000     160.000000     3.383929e-07     1.000000e-14     99.999997     0.130053    0.086915    33.169923
 1      0.500000     180.000000     3.434949e-07     1.000000e-14     99.999997     0.161164    0.108231    32.844343
 1      0.500000     200.000000     1.611624e-06     1.000000e-14     99.999999     0.199216    0.127178    36.160501
 1      0.500000     230.000000     2.012572e-05     1.000000e-14     100.000000     0.262222    0.152199    41.957864
 -1      0.750000     15.000000     2.152856e-07     1.000000e-14     99.999995     0.419297    0.285562    31.894985
 -1      0.750000     20.000000     7.476287e-06     1.000000e-14     100.000000     0.406380    0.242323    40.370456
 -1      0.750000     30.000000     5.598813e-04     1.000000e-14     100.000000     0.380545    0.181532    52.296882
 -1      0.750000     40.000000     7.775473e-03     1.000000e-14     100.000000     0.354599    0.138414    60.966178
 -1      0.750000     50.000000     4.804640e-02     1.000000e-14     100.000000     0.328060    0.105012    67.989985
 -1      0.750000     60.000000     1.885593e-01     1.000000e-14     100.000000     0.300723    0.077684    74.167735
 -1      0.750000     70.000000     5.626940e-01     1.000000e-14     100.000000     0.272689    0.054485    80.019469
 -1      0.750000     80.000000     1.406197e+00     1.000000e-14     100.000000     0.243858    0.034322    85.925269
 -1      0.750000     90.000000     3.122383e+00     1.000000e-14     100.000000     0.214327    0.016407    92.344869
 1      0.750000     100.000000     6.347632e+00     0.000000e+00     100.000000     0.183920    0.010000    94.562853
 1      0.750000     110.000000     1.940320e+00     1.000000e-14     100.000000     0.153761    0.014828    90.356441
 1      0.750000     120.000000     3.171729e-01     1.000000e-14     100.000000     0.134124    0.028067    79.073716
 1      0.750000     130.000000     3.044394e-02     1.000000e-14     100.000000     0.124623    0.040092    67.829610
