type -1 	 flagBushy 1 	 flagRotate 1 	 NRates 4 	 NBranches 3 	 bushytimeStep 2 	 strike 0.025000 	 Ts 4.000000 	 period	0 
nstpes	 seconde 	 prix
4 	 0.000000 	 0.001715
6 	 0.000000 	 0.000198
8 	 0.000000 	 0.001031
10 	 0.000000 	 0.001957
12 	 0.015000 	 0.002256
14 	 0.016000 	 0.002202
16 	 0.062000 	 0.002107
18 	 0.203000 	 0.002265
20 	 0.610000 	 0.002316
22 	 1.969000 	 0.002161
24 	 5.423000 	 0.002076
26 	 16.457000 	 0.001906
28 	 49.199000 	 0.002139
30 	 147.532000 	 0.001861
32 	 440.890000 	 0.002127
34 	 1360.951000 	 0.001895
